filename,framerate,width,height,frame_count,duration_secs
100_litfl_other.mp4,15.0,480.0,360.0,46.0,3.07
101_litfl_other.mp4,15.0,480.0,360.0,28.0,1.87
102_litfl_other.mp4,15.0,480.0,360.0,28.0,1.87
103_litfl_other.mp4,15.0,480.0,360.0,46.0,3.07
104_litfl_other.mp4,15.0,480.0,360.0,46.0,3.07
105_litfl_other.mp4,15.0,480.0,360.0,43.0,2.87
106_litfl_other.mp4,15.0,480.0,360.0,39.0,2.6
107_litfl_other.mp4,15.0,480.0,360.0,43.0,2.87
108_litfl_other.mp4,15.0,480.0,360.0,43.0,2.87
109_litfl_other.mp4,15.0,480.0,360.0,31.0,2.07
10_butterfly_covid.mp4,21.09,736.0,1080.0,148.0,7.02
110_litfl_other.mp4,15.0,480.0,360.0,29.0,1.93
111_litfl_other.mp4,15.0,480.0,360.0,33.0,2.2
112_litfl_other.mp4,15.0,480.0,360.0,37.0,2.47
113_litfl_other.mp4,15.0,480.0,360.0,45.0,3.0
114_litfl_other.mp4,15.0,480.0,360.0,46.0,3.07
115_litfl_other.mp4,15.0,480.0,360.0,28.0,1.87
116_litfl_other.mp4,15.0,480.0,360.0,28.0,1.87
117_litfl_other.mp4,15.0,480.0,360.0,39.0,2.6
118_litfl_other.mp4,15.0,480.0,360.0,28.0,1.87
119_litfl_other.mp4,15.0,480.0,360.0,28.0,1.87
11_butterfly_covid.mp4,20.89,624.0,1080.0,114.0,5.46
120_litfl_other.mp4,15.0,480.0,360.0,28.0,1.87
121_litfl_pneumonia.mp4,15.0,480.0,360.0,27.0,1.8
122_litfl_pneumonia.mp4,15.0,480.0,360.0,42.0,2.8
123_litfl_pneumonia.mp4,12.0,480.0,360.0,36.0,3.0
124_litfl_pneumonia.mp4,12.0,480.0,360.0,36.0,3.0
125_litfl_pneumonia.mp4,12.0,480.0,360.0,36.0,3.0
126_litfl_pneumonia.mp4,12.0,480.0,360.0,31.0,2.58
127_litfl_pneumonia.mp4,15.0,480.0,360.0,24.0,1.6
128_litfl_pneumonia.mp4,15.0,480.0,360.0,32.0,2.13
129_litfl_pneumonia.mp4,15.0,480.0,360.0,25.0,1.67
12_butterfly_covid.mp4,21.16,880.0,1080.0,111.0,5.25
130_litfl_pneumonia.mp4,15.0,480.0,360.0,41.0,2.73
131_litfl_pneumonia.mp4,15.0,480.0,360.0,26.0,1.73
132_litfl_pneumonia.mp4,15.0,480.0,360.0,27.0,1.8
133_litfl_other.mp4,15.0,480.0,360.0,46.0,3.07
134_litfl_other.mp4,15.0,480.0,360.0,46.0,3.07
135_litfl_normal.mp4,12.0,480.0,360.0,36.0,3.0
136_litfl_other.mp4,12.0,480.0,360.0,36.0,3.0
137_litfl_other.mp4,15.0,480.0,360.0,46.0,3.07
138_litfl_normal.mp4,15.0,480.0,360.0,46.0,3.07
139_litfl_normal.mp4,15.0,480.0,384.0,26.0,1.73
13_butterfly_covid.mp4,22.94,880.0,1080.0,92.0,4.01
140_litfl_other.mp4,15.0,480.0,384.0,27.0,1.8
141_litfl_other.mp4,15.0,480.0,384.0,46.0,3.07
142_litfl_other.mp4,15.0,480.0,360.0,34.0,2.27
143_litfl_other.mp4,15.0,480.0,360.0,38.0,2.53
144_litfl_other.mp4,15.0,480.0,360.0,46.0,3.07
145_litfl_other.mp4,15.0,480.0,360.0,45.0,3.0
